Episode number,Steps,Episode reward
1,1007,630.0
2,1689,210.0
3,2327,230.0
4,2941,170.0
5,3644,320.0
6,4214,210.0
7,4740,130.0
8,5325,210.0
9,5919,170.0
10,6526,190.0
11,7222,300.0
12,7720,140.0
13,8309,210.0
14,8903,200.0
15,9576,210.0
16,10454,420.0
17,11072,310.0
18,11695,220.0
19,12358,250.0
20,13270,700.0
21,14075,340.0
22,14612,210.0
23,15634,750.0
24,16141,210.0
25,16866,470.0
26,18010,950.0
27,18754,350.0
28,19241,240.0
29,19694,220.0
30,20377,600.0
31,21538,660.0
32,22383,780.0
33,22923,270.0
34,23752,360.0
35,24507,410.0
36,25313,1180.0
37,26101,660.0
38,26580,260.0
39,27135,350.0
40,27955,580.0
41,28867,350.0
42,29657,540.0
43,30264,350.0
44,31092,530.0
45,31659,280.0
46,32443,1060.0
47,33444,750.0
48,34291,610.0
49,35445,1110.0
50,36233,570.0
51,36802,390.0
52,37387,230.0
53,38364,790.0
54,39311,970.0
55,39889,990.0
56,40639,630.0
57,41385,650.0
58,41980,320.0
59,42677,430.0
60,43442,540.0
61,44407,740.0
62,45285,980.0
63,45660,270.0
64,46120,280.0
65,46640,260.0
66,47172,310.0
67,47981,480.0
68,48863,1070.0
69,49601,690.0
70,50399,690.0
71,50818,210.0
72,51395,270.0
73,52239,650.0
74,52812,450.0
75,53717,570.0
76,54720,980.0
77,55183,250.0
78,55887,360.0
79,57125,1660.0
80,57582,230.0
81,58481,630.0
82,59486,1100.0
83,60069,510.0
84,60830,1100.0
85,61579,340.0
86,62410,650.0
87,62775,120.0
88,63288,380.0
89,64004,600.0
90,65029,1030.0
91,66254,1590.0
92,66756,250.0
93,67315,330.0
94,67887,320.0
95,68207,150.0
96,69157,1020.0
97,69930,720.0
98,70728,550.0
99,71530,1250.0
100,72003,210.0
101,72596,350.0
102,73678,900.0
103,74415,540.0
104,75055,520.0
105,75561,210.0
106,75995,240.0
107,77082,490.0
108,77731,380.0
109,78449,480.0
110,79038,330.0
111,79650,520.0
112,79974,160.0
113,80311,160.0
114,80774,260.0
115,81429,450.0
116,81994,450.0
117,82902,920.0
118,83476,270.0
119,83830,190.0
120,84649,820.0
121,85180,340.0
122,85774,390.0
123,86493,450.0
124,87172,1900.0
125,87631,310.0
126,88172,350.0
127,88799,400.0
128,89268,240.0
129,90109,710.0
130,90606,390.0
131,91148,270.0
132,91619,390.0
133,92296,480.0
134,92925,370.0
135,93482,530.0
136,94742,1020.0
137,95603,740.0
138,96577,560.0
139,97151,560.0
140,97563,170.0
141,98116,290.0
142,98993,620.0
143,99732,590.0
144,100075,190.0
145,100689,640.0
146,101165,210.0
147,101605,250.0
148,102061,320.0
149,102637,330.0
150,103206,220.0
151,103997,610.0
152,105184,980.0
153,105658,210.0
154,106116,350.0
