Steps,Episode number,Episode reward
617,1,330.0
1258,2,180.0
1775,3,190.0
2482,4,290.0
3279,5,280.0
3779,6,140.0
4359,7,190.0
5008,8,150.0
5639,9,170.0
6304,10,130.0
7019,11,220.0
7670,12,250.0
8198,13,210.0
8842,14,180.0
9314,15,160.0
9857,16,150.0
10318,17,230.0
10737,18,90.0
11389,19,270.0
12027,20,160.0
12573,21,210.0
13152,22,270.0
13768,23,270.0
14334,24,260.0
14812,25,270.0
15708,26,560.0
16727,27,650.0
17570,28,720.0
18735,29,920.0
19663,30,590.0
20386,31,940.0
21085,32,940.0
21937,33,720.0
22778,34,570.0
23454,35,480.0
24333,36,630.0
24954,37,400.0
25629,38,320.0
26493,39,680.0
27283,40,690.0
28068,41,470.0
28845,42,480.0
29845,43,1260.0
30292,44,200.0
31371,45,880.0
32148,46,940.0
32679,47,300.0
33729,48,1330.0
34983,49,680.0
35448,50,230.0
36493,51,770.0
36974,52,200.0
37612,53,370.0
38218,54,520.0
38784,55,360.0
39348,56,370.0
40308,57,1060.0
41369,58,510.0
41847,59,260.0
42216,60,200.0
43314,61,890.0
43889,62,360.0
44428,63,330.0
45143,64,570.0
45702,65,470.0
46080,66,190.0
46943,67,470.0
47395,68,320.0
48115,69,360.0
48616,70,330.0
49053,71,200.0
49799,72,710.0
50444,73,430.0
50946,74,350.0
51521,75,380.0
51977,76,300.0
52989,77,620.0
53487,78,240.0
54052,79,430.0
54649,80,320.0
55608,81,380.0
56219,82,380.0
57038,83,350.0
57470,84,180.0
58381,85,570.0
59169,86,640.0
59746,87,420.0
60215,88,350.0
61051,89,750.0
61630,90,320.0
62737,91,900.0
63218,92,420.0
63938,93,660.0
64490,94,310.0
65122,95,300.0
65781,96,360.0
66564,97,500.0
67149,98,470.0
67913,99,660.0
69300,100,1660.0
69999,101,600.0
70622,102,400.0
71415,103,680.0
72213,104,600.0
73028,105,1030.0
73613,106,410.0
74178,107,420.0
74963,108,780.0
75800,109,350.0
76864,110,680.0
77440,111,470.0
78357,112,770.0
79194,113,720.0
80022,114,960.0
81085,115,1580.0
81918,116,640.0
82951,117,620.0
84049,118,1100.0
84614,119,310.0
85471,120,320.0
86266,121,620.0
87405,122,760.0
87940,123,390.0
89030,124,680.0
90070,125,250.0
90729,126,700.0
91781,127,450.0
92493,128,340.0
93367,129,1910.0
93986,130,560.0
94551,131,470.0
95491,132,900.0
96179,133,370.0
97034,134,330.0
97561,135,340.0
98199,136,210.0
98671,137,170.0
99212,138,320.0
99855,139,440.0
100643,140,660.0
101180,141,310.0
101805,142,400.0
102412,143,350.0
102916,144,330.0
103783,145,530.0
104574,146,660.0
105224,147,960.0
105724,148,270.0
106275,149,320.0
106739,150,300.0
107139,151,150.0
107623,152,260.0
108215,153,520.0
108799,154,320.0
109437,155,320.0
110168,156,420.0
110886,157,690.0
111282,158,180.0
111919,159,520.0
112587,160,320.0
113980,161,960.0
114542,162,240.0
115104,163,210.0
116028,164,830.0
116419,165,190.0
116931,166,410.0
117558,167,500.0
118215,168,330.0
118807,169,290.0
119344,170,150.0
120163,171,1090.0
120824,172,400.0
121460,173,230.0
122397,174,780.0
123069,175,120.0
124018,176,630.0
124875,177,430.0
125305,178,150.0
126307,179,1270.0
127149,180,240.0
127728,181,430.0
128313,182,320.0
129072,183,690.0
130129,184,1390.0
130829,185,320.0
131747,186,550.0
132302,187,310.0
132843,188,150.0
133449,189,340.0
134286,190,1060.0
135045,191,560.0
135916,192,240.0
136589,193,690.0
137482,194,1880.0
138314,195,520.0
139048,196,610.0
139588,197,360.0
140133,198,370.0
140805,199,600.0
141457,200,460.0
141995,201,340.0
142649,202,270.0
143638,203,570.0
144321,204,370.0
145483,205,680.0
146030,206,460.0
146943,207,360.0
147808,208,380.0
148572,209,870.0
149268,210,470.0
149860,211,510.0
150770,212,570.0
151544,213,580.0
152021,214,260.0
152554,215,440.0
153442,216,1820.0
154141,217,570.0
154729,218,440.0
155315,219,320.0
155842,220,320.0
156433,221,320.0
157179,222,410.0
157634,223,250.0
158354,224,630.0
158830,225,260.0
159551,226,520.0
160484,227,800.0
161235,228,520.0
161773,229,370.0
162297,230,260.0
163166,231,480.0
164041,232,330.0
164654,233,460.0
165415,234,550.0
166226,235,410.0
166940,236,410.0
167481,237,310.0
168521,238,2190.0
169557,239,760.0
170524,240,1360.0
171489,241,480.0
172507,242,510.0
173218,243,280.0
174000,244,1810.0
174562,245,140.0
175413,246,500.0
176285,247,820.0
177196,248,540.0
178013,249,310.0
178421,250,90.0
179179,251,250.0
